Word,Frequency,Percentage
тоном,34,0.01%
раза,34,0.01%
особенности,34,0.01%
вошла,34,0.01%
батюшка,34,0.01%
говоря,34,0.01%
общества,34,0.01%
собак,34,0.01%
виноват,33,0.01%
взяв,33,0.01%
маленькая,33,0.01%
русские,33,0.01%
разговора,33,0.01%
любить,33,0.01%
пришел,33,0.01%
полку,33,0.01%
получил,33,0.01%
проговорила,33,0.01%
всякий,33,0.01%
испуганно,33,0.01%
год,33,0.01%
России,33,0.01%
часов,33,0.01%
главное,33,0.01%
стол,33,0.01%
одним,33,0.01%
другим,32,0.01%
любит,32,0.01%
говорите,32,0.01%
хочешь,32,0.01%
Сони,32,0.01%
людьми,32,0.01%
понимал,32,0.01%
Очень,32,0.01%
se,32,0.01%
неприятно,32,0.01%
votre,32,0.01%
вероятно,32,0.01%
деревне,32,0.01%
Петя,32,0.01%
поле,32,0.01%
денег,32,0.01%
никому,32,0.01%
смеясь,32,0.01%
сказали,32,0.01%
чувствуя,32,0.01%
новые,32,0.01%
ногами,32,0.01%
находился,32,0.01%
мире,32,0.01%
продолжала,32,0.01%
радости,32,0.01%
сами,31,0.01%
стояла,31,0.01%
ти,31,0.01%
mais,31,0.01%
сердце,31,0.01%
странно,31,0.01%
часу,31,0.01%
неожиданно,31,0.01%
трудно,31,0.01%
армию,31,0.01%
какие,31,0.01%
серьезно,31,0.01%
нечего,31,0.01%
выше,31,0.01%
общество,31,0.01%
здоровье,31,0.01%
смерти,31,0.01%
перебил,31,0.01%
подошла,31,0.01%
вспомнил,31,0.01%
дороги,31,0.01%
К,31,0.01%
шагов,31,0.01%
сыном,31,0.01%
конце,31,0.01%
такая,31,0.01%
свет,31,0.01%
т,31,0.01%
таких,31,0.01%
стоит,30,0.01%
одном,30,0.01%
боюсь,30,0.01%
моей,30,0.01%
дал,30,0.01%
жил,30,0.01%
пять,30,0.01%
своею,30,0.01%
княжну,30,0.01%
прелесть,30,0.01%
кому,30,0.01%
залу,30,0.01%
отцу,30,0.01%
женщин,30,0.01%
улыбка,30,0.01%
твердо,30,0.01%
генералу,30,0.01%
французы,30,0.01%
prince,30,0.01%
Видно,30,0.01%
другом,30,0.01%
напротив,30,0.01%
вечером,30,0.01%
Ей,29,0.01%
Княгиня,29,0.01%
туда,29,0.01%
tres,29,0.01%
господа,29,0.01%
мое,29,0.01%
старался,29,0.01%
голосов,29,0.01%
будут,29,0.01%
император,29,0.01%
Сперанского,29,0.01%
навстречу,29,0.01%
ума,29,0.01%
полковник,29,0.01%
Cest,29,0.01%
Ничего,29,0.01%
состоянии,29,0.01%
числе,29,0.01%
Государь,29,0.01%
знали,29,0.01%
новое,29,0.01%
сражение,29,0.01%
хуже,29,0.01%
Соню,29,0.01%
мыслей,29,0.01%
действительно,29,0.01%
лицами,29,0.01%
часть,29,0.01%
адъютанта,29,0.01%
пошла,29,0.01%
гости,28,0.01%
звук,28,0.01%
Соне,28,0.01%
обратилась,28,0.01%
принял,28,0.01%
Василья,28,0.01%
Кроме,28,0.01%
Во,28,0.01%
моего,28,0.01%
Вдруг,28,0.01%
честь,28,0.01%
moi,28,0.01%
постоянно,28,0.01%
нашей,28,0.01%
вернулся,28,0.01%
никак,28,0.01%
самые,28,0.01%
подумала,28,0.01%
внимания,28,0.01%
bien,28,0.01%
душа,28,0.01%
крик,28,0.01%
дурно,28,0.01%
другую,28,0.01%
подъехал,28,0.01%
всему,28,0.01%
вновь,28,0.01%
свидания,28,0.01%
света,28,0.01%
души,27,0.01%
жалко,27,0.01%
рядом,27,0.01%
поднял,27,0.01%
читал,27,0.01%
полковой,27,0.01%
силы,27,0.01%
Il,27,0.01%
Борису,27,0.01%
окна,27,0.01%
10,27,0.01%
головы,27,0.01%
генерала,27,0.01%
«Да,27,0.01%
иметь,27,0.01%
мгновение,27,0.01%
шли,27,0.01%
французски,27,0.01%
рублей,27,0.01%
офицеры,27,0.01%
вижу,27,0.01%
слегка,27,0.01%
другими,27,0.01%
Один,27,0.01%
солдата,27,0.01%
держал,27,0.01%
Кутузову,27,0.01%
села,27,0.01%
могут,27,0.01%
однако,27,0.01%
au,27,0.01%
чувства,27,0.01%
Хорошо,27,0.01%
торопливо,27,0.01%
страха,27,0.01%
просил,26,0.01%
лиц,26,0.01%
большую,26,0.01%
решительно,26,0.01%
считал,26,0.01%
речи,26,0.01%
приезда,26,0.01%
нашел,26,0.01%
оттого,26,0.01%
любила,26,0.01%
Петербурга,26,0.01%
сыну,26,0.01%
неловко,26,0.01%
изредка,26,0.01%
чему,26,0.01%
молодые,26,0.01%
женщина,26,0.01%
столом,26,0.01%
Пьером,26,0.01%
приятно,26,0.01%
иначе,26,0.01%
столько,26,0.01%
ею,26,0.01%
Долгоруков,26,0.01%
впечатление,26,0.01%
M,26,0.01%
полкового,26,0.01%
громко,26,0.01%
Василия,26,0.01%
движение,26,0.01%
боялся,26,0.01%
последние,26,0.01%
бале,26,0.01%
ходить,25,0.01%
замуж,25,0.01%
Соней,25,0.01%
Жерков,25,0.01%
мундире,25,0.01%
первых,25,0.01%
Опять,25,0.01%
заметив,25,0.01%
внимание,25,0.01%
человеку,25,0.01%
графине,25,0.01%
одному,25,0.01%
засмеялся,25,0.01%
Несколько,25,0.01%
пожалуйста,25,0.01%
Vous,25,0.01%
отцом,25,0.01%
едва,25,0.01%
обыкновенно,25,0.01%
идет,25,0.01%
Зачем,25,0.01%
цепи,25,0.01%
прибавила,25,0.01%
«И,25,0.01%
менее,25,0.01%
людям,25,0.01%
читать,25,0.01%
ночи,25,0.01%
Павловны,25,0.01%
сделала,25,0.01%
Ah,25,0.01%
Ростовы,25,0.01%
краснея,25,0.01%
ваш,25,0.01%
грустно,25,0.01%
дам,25,0.01%
рада,25,0.01%
писал,25,0.01%
русских,25,0.01%
мир,25,0.01%
слышались,25,0.01%
шаги,24,0.01%
немного,24,0.01%
человеком,24,0.01%
ходил,24,0.01%
груди,24,0.01%
son,24,0.01%
чувством,24,0.01%
утром,24,0.01%
белом,24,0.01%
показалось,24,0.01%
послышались,24,0.01%
pere,24,0.01%
принять,24,0.01%
силах,24,0.01%
нашего,24,0.01%
девушка,24,0.01%
вниз,24,0.01%
лежал,24,0.01%
Наполеона,24,0.01%
счастия,24,0.01%
Andre,24,0.01%
хороша,24,0.01%
велел,24,0.01%
лицу,24,0.01%
отвернулся,24,0.01%
заговорил,24,0.01%
виде,24,0.01%
отчего,24,0.01%
желаю,24,0.01%
жене,24,0.01%
моста,24,0.01%
молодых,24,0.01%
беспрестанно,24,0.01%
Mon,24,0.01%
армия,24,0.01%
рассказал,24,0.01%
сквозь,24,0.01%
отвечать,24,0.01%
передней,24,0.01%
обществе,24,0.01%
кем,24,0.01%
знак,24,0.01%
году,24,0.01%
одни,23,0.01%
казался,23,0.01%
имеет,23,0.01%
выйти,23,0.01%
которыми,23,0.01%
удовольствием,23,0.01%
воли,23,0.01%
вчера,23,0.01%
поди,23,0.01%
дядюшки,23,0.01%
faut,23,0.01%
также,23,0.01%
обедать,23,0.01%
мою,23,0.01%
взяла,23,0.01%
тело,23,0.01%
час,23,0.01%
стороне,23,0.01%
никакого,23,0.01%
Тушина,23,0.01%
самым,23,0.01%
добродетели,23,0.01%
решил,23,0.01%
мнение,23,0.01%
отыскивая,23,0.01%
желание,23,0.01%
зале,23,0.01%
счастлив,23,0.01%
волос,23,0.01%
ка,23,0.01%
виконт,23,0.01%
диван,23,0.01%
й,23,0.01%
ответил,23,0.01%
другому,23,0.01%
Le,23,0.01%
Ваше,23,0.01%
глупости,23,0.01%
цель,23,0.01%
высоко,23,0.01%
счастье,23,0.01%
шла,23,0.01%
Мама,23,0.01%
сели,23,0.01%
известие,23,0.01%
волнения,23,0.01%
ног,23,0.01%
homme,23,0.01%
